,code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
410,SLV,2017,6.1668,8617.92170824529,71.275,33.0,14.0,17.753885,0.647,6.55,72.3108,26.388763,0.818,6.16,,0.0,0.0,0.674,1784.0,6.760568,0.38007188,Americas,Latin America and the Caribbean
411,SLV,2016,6.003,8447.10366608495,70.501,36.0,13.7,17.355083,0.66,7.274,72.0248,26.757294,0.833,5.77,,0.0,0.0,0.671,1784.0,7.111477,0.3997858,Americas,Latin America and the Caribbean
412,SLV,2015,6.068,8263.64372524323,69.7,39.0,13.8,16.752857,0.66,7.274,71.8143,27.068466,0.832,6.78,,0.0,0.0,0.668,1784.0,6.9351854,0.40551943,Americas,Latin America and the Caribbean
413,SLV,2014,6.13,8097.9581764719,68.874,39.0,14.586,16.709143,0.661,7.274,71.7464,26.429596,0.832,5.96,,0.0,0.0,0.666,1784.0,7.1956143,0.41559842,Americas,Latin America and the Caribbean
414,SLV,2011,5.955841,7660.63499466519,66.325,36.4,14.586,15.343867,0.669,7.274,71.8589,25.79556,0.843,8.02,,0.0,0.0,0.661,1784.0,7.9560614,0.4231836,Americas,Latin America and the Caribbean
415,EST,2022,6.4552,37711.8188349466,68.723,70.6,0.843,33.163,0.975,11.591,77.706,6.9465384,0.959,13.635,84.81508,0.3692436377884615,0.0,0.886,626.0,1.521,0.316,Europe,Northern Europe
416,EST,2021,6.3408,38717.6961505119,69.415,70.6,0.7,33.82624,0.973,11.591,77.1436,6.479271,0.959,13.635,86.425,0.6232532079423077,0.0,0.89,626.0,1.521,0.316,Europe,Northern Europe
417,EST,2020,6.1888,35883.265325261,69.229,70.6,0.8,33.570633,0.971,11.719313,78.3431,8.269728,0.955,13.635,86.425,0.0938788291113207,0.0,0.892,626.0,1.521,0.30737874,Europe,Northern Europe
418,EST,2019,6.0218,36153.4319482746,69.051,70.6,0.8,33.74958,0.967,11.591,78.6693,7.404297,0.954,11.9633,86.425,0.0,0.0,0.896,626.0,1.2464755,0.30767542,Europe,Northern Europe
419,EST,2018,5.8935,34979.8670494407,68.88,73.0,0.9,33.15343,0.974,11.6930065,78.1395,7.0349727,0.957,11.5565,86.425,0.0,0.0,0.891,626.0,1.2081594,0.30321452,Europe,Northern Europe
