code,year,happiness,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini
BLR,2016,5.569,77.661,40.0,,35.748615,0.671,,74.258,7.7674637,0.632,19.3953,,,0.0,0.813,618.0,7.1798005,0.25306615
BLR,2015,5.802,77.181,32.0,,35.58217,0.653,,73.9874,8.640975,0.602,19.5525,,,0.0,0.812,618.0,7.7084856,0.25633225
BLR,2014,5.813,76.693,31.0,,34.739315,0.651,,73.5849,7.806661,0.602,21.5857,88.31913,,0.0,0.812,618.0,8.07391,0.27176666
BLR,2011,5.566307,75.188,,,33.278404,0.648,,71.5165,7.547709,0.569,30.1626,,,0.0,0.797,618.0,9.04906,0.2715255
BEL,2022,6.8591,,,,,0.978,,,11.5119095,0.956,,,0.2116425384903846,0.0,,,,
BEL,2021,6.805,98.117,,1.5,44.904606,0.978,,81.8787,10.086791,0.954,,,0.10454271173653845,0.0,0.937,,,
BEL,2020,6.834,98.079,,1.3,44.918888,0.976,11.183289,80.7884,11.5468445,0.953,,,0.4329346729245283,0.0,0.928,,,0.2595833
BEL,2019,6.8635,98.041,,1.1,44.832016,0.98,,81.8311,10.921496,0.961,13.9283,,,0.0,0.936,847.0,3.3124945,0.27219802
BEL,2018,6.923,98.001,75.0,,46.405468,0.98,11.240353,81.4787,11.186072,0.961,14.3193,,,0.034938775,0.933,847.0,3.3239088,0.27214414
BEL,2017,6.9269,97.961,75.0,,46.381866,0.98,11.14,81.3618,10.717227,0.961,14.5945,,,0.0,0.931,847.0,3.3167343,0.27387968
BEL,2016,6.891,97.919,77.0,,45.834755,0.98,,81.2661,10.349013,0.962,15.0211,,,0.3004373,0.927,847.0,3.3633764,0.27580982
BEL,2015,6.929,97.876,77.0,,46.630493,0.98,,80.8898,10.621595,0.962,14.4114,,,0.0,0.924,847.0,3.475849,0.27729464
BEL,2014,6.937,97.833,76.0,,47.410248,0.984,,81.0811,11.247949,0.965,15.1285,,,0.0,0.921,847.0,3.6776106,0.28134146
BEL,2011,7.113178,97.698,,,46.191936,0.984,,80.3649,10.911835,0.965,16.7076,,,0.0,0.914,847.0,4.4978285,0.28060696
BLZ,2017,5.9556,45.601,,,21.160198,,,73.5624,25.905405,,7.71,,,0.0,0.707,1705.0,6.785864,
BLZ,2016,5.956,45.495,,,20.484173,,,73.3988,26.026855,,6.67,,,0.0,0.712,1705.0,6.9507437,
BLZ,2015,5.956,45.406,,,19.567799,,,73.1866,26.211744,,6.87,,,0.0,0.708,1705.0,7.112918,
BLZ,2011,6.450644,45.228,,,18.442484,,,72.6512,25.81542,,7.92,,,0.0,0.709,1705.0,6.8957,
BEN,2022,4.3737,,,,,0.868,,,27.635437,0.824,,,0.16951008932692307,0.247138,,,,
BEN,2021,4.6232,48.972,,15.3,,0.87,,59.821,28.335459,0.808,,,0.27188736326923074,0.0,0.525,,,
BEN,2020,5.0452,48.415,,13.8,,0.874,5.6664166,60.088,27.868393,0.818,,,0.05877006634528302,0.0,0.524,,,
BEN,2019,5.216,47.861,,13.8,,0.882,,60.4537,27.937925,0.845,12.7127,,,0.008136403,0.53,1039.0,15.1682005,
BEN,2018,4.8832,47.312,40.0,14.2,,0.932,5.64372,60.1403,27.714806,0.878,12.9745,,,0.0,0.53,1039.0,15.164894,0.37948644
BEN,2017,4.1414,46.768,39.0,14.4,,0.933,5.73,59.8558,27.960014,0.92,13.1069,,,0.0,0.53,1039.0,15.308401,
BEN,2016,3.657,46.229,36.0,13.1,,0.918,,59.5394,28.079681,0.901,13.2741,,,0.0,0.53,1039.0,15.33934,
BEN,2015,3.484,45.695,37.0,10.4,,0.888,,59.3771,27.833368,0.875,13.3759,,,0.0,0.529,1039.0,15.476394,0.47755915
BEN,2014,3.34,45.166,39.0,,,0.899,,59.1249,27.722437,0.869,13.6455,,,0.0,0.524,1039.0,15.366891,
BEN,2011,3.492997,43.608,,,11.215374,0.885,,58.4624,27.90756,0.872,14.1437,,,0.0,0.499,1039.0,15.462409,0.43439707
BTN,2018,5.0821,40.895,68.0,,17.21909,0.796,,71.1286,8.47277,0.733,5.11,,,0.0,0.658,2200.0,16.179342,
BTN,2017,5.0821,40.167,67.0,,13.268918,0.795,,70.8472,9.005468,0.712,5.14,,,0.0,0.647,2200.0,16.326466,0.3744141
BTN,2016,5.011,39.428,65.0,,13.915841,0.788,,70.6022,9.125375,0.713,5.05,,,0.0,0.638,2200.0,16.523127,
BTN,2015,5.196,38.678,65.0,,14.09044,0.783,,70.3433,8.318613,0.717,5.16,,,0.0,0.627,2200.0,16.703653,
BTN,2014,5.253,37.918,65.0,,14.562643,0.783,,70.0486,8.505215,0.717,5.19,,,0.0,0.617,2200.0,16.781145,
BOL,2022,5.6843,,,,,0.782,,,20.415651,0.823,,80.93856,0.3216530512115385,0.016361104,,,,
BOL,2021,5.6003,70.475,,,20.296467,0.776,,63.6304,20.473661,0.819,,,0.6738603898076924,0.016557012,0.692,,,0.40913323
BOL,2020,5.7159,70.123,,,19.632416,0.652,,64.4667,21.083246,0.727,,,0.4768906700188679,0.008377898,0.694,,,0.43645486
BOL,2019,5.7475,69.773,,,22.516605,0.633,,67.841,20.839853,0.722,6.82,,,0.0,0.717,1146.0,8.555846,0.41644758
BOL,2018,5.7793,69.425,29.0,,24.977852,0.774,,67.748,20.248945,0.845,6.97,,,0.0,0.714,1146.0,8.636104,0.42579758
BOL,2017,5.7519,69.08,33.0,,23.95671,0.775,,67.7015,20.68914,0.85,7.17,,,0.0,0.708,1146.0,8.766901,0.44618952
BOL,2016,5.823,68.738,33.0,,26.129286,0.762,,67.6277,20.647776,0.839,7.43,,,0.0,0.701,1146.0,9.031759,0.45244002
BOL,2015,5.822,68.393,34.0,,31.295744,0.766,,67.3182,20.933432,0.849,7.2,,,0.0,0.69,1146.0,9.238796,0.46732494
BOL,2014,5.89,68.047,35.0,,33.69941,0.756,,67.1632,20.513987,0.843,7.04,,,0.0,0.684,1146.0,9.385104,0.47830656
BOL,2011,5.633493,66.874,,,28.87705,0.759,,66.5337,20.523815,0.851,7.05,,,0.0,0.668,1146.0,9.756761,0.46080953
BIH,2022,5.6325,,,,,0.782,,,11.637616,0.812,,92.41127,0.4167702557692307,0.0,,,,
BIH,2021,5.768,49.425,,3.1,36.523735,0.788,,75.3003,10.760398,0.821,,,1.1346278334615385,0.0,0.78,,,
BIH,2020,5.8131,49.02,,2.8,36.707016,0.797,7.801883,76.2254,11.114934,0.821,,,0.6271066892452831,0.0,0.781,,,
BIH,2019,5.6741,48.626,,1.9,37.333355,0.809,,77.2412,11.3685875,0.828,8.25,,,0.0,0.783,1028.0,12.3605795,
BIH,2018,5.3865,48.245,38.0,1.5,37.505783,0.789,8.638537,77.0926,11.184213,0.81,8.18,,,0.0,0.776,1028.0,12.450942,
BIH,2017,5.1294,47.876,38.0,1.3,37.37167,0.831,8.64,76.9349,10.610112,0.856,8.07,,,0.0,0.772,1028.0,12.570164,
BIH,2016,5.182,47.518,39.0,1.8,37.11854,0.834,,76.8083,10.747967,0.856,8.13,,,0.0,0.77,1028.0,12.916541,
BIH,2015,5.163,47.173,38.0,1.5,37.226704,0.835,,76.1819,10.968231,0.858,8.33,,,0.0,0.761,1028.0,13.349511,
BIH,2014,4.949,46.84,39.0,,37.77253,0.839,,75.6586,11.393565,0.865,8.2,,,0.0,0.756,1028.0,13.553877,
BIH,2011,4.857435,45.878,,,38.415115,0.831,,77.0069,10.606507,0.868,8.35,,,0.0,0.732,1028.0,14.163131,0.33030185
BWA,2022,3.4353,,,,,0.832,,,21.776207,0.835,,,0.18938358578846154,0.0,,,,
BWA,2021,3.4711,71.56,,26.7,,0.867,,61.1409,21.456331,0.852,,,0.6209743915384615,0.0,0.693,,,
BWA,2020,3.4665,70.877,,25.4,,0.913,5.0830455,65.6471,22.030394,0.885,,,-0.033749750811320756,0.0,0.713,,,
BWA,2019,3.4789,70.172,,23.7,,0.92,,65.4636,23.395956,0.888,20.2166,,,0.0,0.717,416.0,8.91193,
BWA,2018,3.4884,69.446,61.0,23.1,,0.911,5.074523,65.4224,22.618332,0.874,22.059,,,0.0,0.716,416.0,8.97716,
BWA,2017,3.5898,68.7,61.0,22.8,23.942825,0.909,5.27,66.7526,21.769976,0.876,22.3226,,,0.0,0.722,416.0,9.08747,
BWA,2016,3.766,67.933,60.0,21.5,21.65213,0.913,,65.4644,23.088524,0.875,22.9024,,,0.0,0.713,416.0,9.224107,
BWA,2015,3.974,67.155,63.0,18.4,25.464602,0.919,,63.8183,23.172028,0.883,24.5486,,,0.0,0.702,416.0,9.31149,0.5332503
BWA,2014,4.332,66.368,63.0,,27.077436,0.913,,62.6076,21.53019,0.877,25.3485,,,0.0,0.696,416.0,9.348828,
BWA,2011,4.580534,63.865,,,24.046259,0.916,,60.5302,21.382528,0.886,29.086,,,0.0,0.669,416.0,9.186937,
BRA,2022,6.1246,,,,,0.603,,,24.793844,0.638,,85.32112,0.2375930001923077,0.6873698,,,,
BRA,2021,6.2928,87.317,,9.9,32.62684,0.627,,72.7504,24.974958,0.633,,,0.6114148384615384,1.0843283,0.754,,,0.52916694
BRA,2020,6.3301,87.073,,7.3,30.452463,0.658,7.8728395,74.0089,25.19353,0.669,,,0.2355734202735849,1.1552733,0.758,,,0.4888038
BRA,2019,6.3756,86.824,,3.5,32.536087,0.663,,75.3379,25.529772,0.685,6.41,,,0.72385454,0.766,1761.0,4.276102,0.5348577
BRA,2018,6.2998,86.569,35.0,1.6,32.63798,0.784,7.774814,75.1095,25.092684,0.775,6.51,,,1.1286285,0.764,1761.0,4.3140564,0.53870946
BRA,2017,6.4189,86.309,37.0,1.7,32.25275,0.818,7.63,74.8266,25.38148,0.826,6.19,,,1.3433733,0.759,1761.0,4.313018,0.5333405
BRA,2016,6.635,86.042,40.0,1.8,32.18765,0.841,,74.4415,25.56431,0.848,5.67,,,0.040123835,0.755,1761.0,4.4037704,0.53342843
BRA,2015,6.952,85.77,38.0,1.9,32.008938,0.864,,74.3325,25.683771,0.876,5.6,,,0.031678233,0.753,1761.0,4.475354,0.51930827
BRA,2014,6.983,85.492,43.0,,31.758158,0.863,,74.3058,25.171959,0.877,5.4,87.41514,,0.0,0.754,1761.0,4.63632,0.5203314
BRA,2011,6.697499,84.631,,,33.26633,0.875,,73.3432,24.892756,0.879,5.19,,,0.015641928,0.728,1761.0,5.4616246,0.5294759
BGR,2022,5.4661,,,,,0.906,,,12.2200165,0.902,,87.09793,0.5281084881538461,0.0,,,,
BGR,2021,5.3709,76.025,,3.5,,0.844,,71.798,11.667403,0.874,,,1.7347449271923077,0.0,0.795,,,
BGR,2020,5.2655,75.686,,2.9,30.2812,0.866,8.687309,73.6453,12.335079,0.858,,,0.7219924521981131,0.0,0.802,,,0.40523154
BGR,2019,5.1015,75.347,,2.4,30.154192,0.851,,75.0624,12.638382,0.854,6.5,,,0.0,0.81,608.0,8.5033045,0.40271384
BGR,2018,5.011,75.008,42.0,1.9,29.455845,0.851,9.80042,74.8983,12.050331,0.852,6.6,,,0.0,0.809,608.0,8.572876,0.412841
BGR,2017,4.9331,74.669,43.0,2.1,29.64331,0.863,10.29,74.7992,11.647244,0.855,6.65,,,0.0,0.808,608.0,8.648155,0.40379047
BGR,2016,4.714,74.329,41.0,2.4,28.968315,0.859,,74.8336,12.041663,0.86,6.57,,,0.0,0.809,608.0,8.77132,0.40591064
BGR,2015,4.217,73.99,41.0,1.9,28.690702,0.861,,74.6325,12.052497,0.87,6.77,,,0.0,0.809,608.0,8.905413,0.38567346
BGR,2014,4.218,73.651,43.0,,28.234015,0.875,,74.4824,11.879063,0.882,7.13,,,0.0,0.807,608.0,9.113706,0.37418568
BGR,2011,3.889474,72.638,,,25.320269,0.888,,74.1895,10.929778,0.903,7.9,,,0.0,0.794,608.0,9.819859,0.34278607
BFA,2022,4.6376,,,,,0.745,,,28.589346,0.775,,,0.24630353057692306,11.444945,,,,
BFA,2021,4.6705,31.24,,21.2,15.906391,0.764,,59.2696,29.380875,0.801,,,0.2599867148076923,6.5970793,0.449,,,
