code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
ARM,2021,5.3986,14206.5445701331,63.431,,0.5,22.540012,0.878,,72.0431,7.6757207,0.884,,,1.064059961730769,0.35829824,0.759,,,0.2794013,Asia,Western Asia
ARM,2020,5.2826,13357.6970638572,63.313,,0.5,22.33672,0.903,7.994621,72.173,7.103248,0.906,,,0.7163828464392452,0.42771447,0.757,,,0.25131604,Asia,Western Asia
ARM,2019,4.6768,14317.5528692827,63.219,,0.8,22.759394,0.913,,75.4386,7.3121448,0.908,2.66,,,0.0,0.778,562.0,11.371826,0.30031213,Asia,Western Asia
ARM,2018,4.5594,13231.4310690444,63.149,35.0,1.1,21.306564,0.896,8.07041,75.0645,8.187609,0.888,1.65,,,0.0,0.771,562.0,11.455856,0.344335,Asia,Western Asia
ARM,2017,4.3206,12509.6396064818,63.103,35.0,1.2,21.260899,0.801,7.86,74.9059,6.6434894,0.801,2.43,,,0.0,0.768,562.0,11.584303,0.3362184,Asia,Western Asia
ARM,2016,4.376,11580.3836431751,63.082,33.0,,21.761496,0.803,,74.6639,6.4220004,0.789,4.43,,,0.17446886,0.765,562.0,11.756579,0.32547948,Asia,Western Asia
ARM,2015,4.36,11506.0389896756,63.085,35.0,,21.574928,0.802,,74.4361,7.269296,0.789,4.7,,,0.3126522,0.766,562.0,12.025206,0.32356772,Asia,Western Asia
ARM,2014,4.35,11105.5324996261,63.112,37.0,,22.43237,0.807,,74.0577,7.3057075,0.786,4.63,97.18008,,0.10380849,0.764,562.0,12.063473,0.3148329,Asia,Western Asia
ARM,2011,4.473529,9551.15813085673,63.34,,,21.0034,0.807,,73.3045,5.7656994,0.794,5.74,,,0.0,0.75,562.0,12.22174,0.29352945,Asia,Western Asia
AUS,2022,7.0946,51090.2633278214,,,,,0.96,,,21.874115,0.93,,90.15292,0.2299605095,0.0,,,,,Oceania,Australia and New Zealand
AUS,2021,7.1621,49609.2311012377,86.362,,3.4,,0.955,,84.5265,21.96463,0.92,,,0.0510451562692307,0.0,0.951,,,,Oceania,Australia and New Zealand
AUS,2020,7.1835,48651.7349653922,86.241,,3.6,29.974062,0.956,11.222505,84.3239,22.58075,0.931,,,-0.0353114935915094,0.0,0.947,,,,Oceania,Australia and New Zealand
AUS,2019,7.2228,49420.9404224359,86.124,,3.3,27.55645,0.967,,83.11,23.126226,0.931,11.2523,,,0.0,0.941,534.0,1.1128302,,Oceania,Australia and New Zealand
AUS,2018,7.228,49085.9333718305,86.012,77.0,3.8,29.41556,0.967,11.40922,83.3871,22.6032,0.934,11.2611,,,0.008006653,0.941,534.0,1.089121,0.34333763,Oceania,Australia and New Zealand
AUS,2017,7.2721,48418.558421681,85.904,77.0,3.6,29.192316,0.966,11.55,83.0006,22.474974,0.935,11.7932,,,0.0,0.937,534.0,1.0618842,,Oceania,Australia and New Zealand
AUS,2016,7.284,48107.0674601139,85.8,79.0,3.4,28.496323,0.975,,82.8707,22.401701,0.948,10.9183,,,0.0,0.935,534.0,1.1055092,0.3368581,Oceania,Australia and New Zealand
AUS,2015,7.313,47543.0801361158,85.701,79.0,2.8,28.120186,0.974,,82.6552,22.506424,0.948,11.8127,,,0.0,0.933,534.0,1.1412232,,Oceania,Australia and New Zealand
AUS,2014,7.284,47193.1716301214,85.602,80.0,,27.337116,0.976,,82.5677,22.59493,0.947,11.3146,92.52824,,0.0,0.931,534.0,1.1507242,0.34399432,Oceania,Australia and New Zealand
AUS,2011,7.344625,45328.2597058221,85.3,,,26.35477,0.98,,82.1336,21.348013,0.955,10.0623,,,0.0,0.926,534.0,1.1674845,,Oceania,Australia and New Zealand
AUT,2022,7.0973,55867.1838072071,,,,,0.915,,,8.0978985,0.901,,82.3139,0.3018998465928846,0.0,,,,,Europe,Western Europe
AUT,2021,7.163,53817.3062578724,58.995,,1.6,43.713684,0.945,,81.5797,6.8732553,0.917,,,0.2442545818846153,0.0,0.916,,,,Europe,Western Europe
AUT,2020,7.2678,51854.7493457907,58.748,,1.3,42.69726,0.952,10.906205,81.5036,7.716915,0.919,,,0.2525139136113207,0.044904567,0.913,,,0.29801792,Europe,Western Europe
AUT,2019,7.2942,55769.6841038798,58.515,,0.9,43.127434,0.947,,81.9077,8.035307,0.918,10.4022,,,0.0,0.919,1110.0,3.2155223,0.30211553,Europe,Western Europe
AUT,2018,7.246,55217.2865300768,58.297,76.0,1.1,42.79955,0.942,11.275588,81.6862,8.13189,0.926,11.188,,,0.0,0.917,1110.0,3.1663206,0.3084879,Europe,Western Europe
AUT,2017,7.1394,54172.9867888254,58.094,75.0,1.1,42.44607,0.961,11.67,81.6391,7.2550244,0.939,10.7721,,,0.0,0.916,1110.0,3.14181,0.29737586,Europe,Western Europe
AUT,2016,7.006,53345.7415259818,57.905,75.0,1.2,42.364082,0.967,,81.5925,7.4417515,0.948,11.1316,,,0.0,0.915,1110.0,3.3299193,0.30797073,Europe,Western Europe
AUT,2015,7.119,52873.8586545571,57.715,76.0,1.1,43.77833,0.967,,81.1594,7.9312553,0.948,11.3898,,,0.0,0.91,1110.0,3.5926633,0.30532774,Europe,Western Europe
AUT,2014,7.2,52932.9001116518,57.526,72.0,,43.366844,0.969,,81.3903,8.039063,0.95,12.043,,,0.0,0.909,1110.0,3.7688143,0.30535683,Europe,Western Europe
AUT,2011,7.227316,53179.1474647432,57.115,,,41.896942,0.966,,80.8285,7.306587,0.946,12.2841,,,0.0,0.905,1110.0,4.235061,0.3080167,Europe,Western Europe
AZE,2021,5.1734,14433.9042060355,56.776,,0.5,13.471213,0.387,,69.3658,13.154212,0.416,,,0.6795498628846153,0.29089522,0.745,,,,Asia,Western Asia
AZE,2020,5.1708,13726.7696576885,56.397,,0.5,15.185594,0.366,8.281513,66.8679,12.649577,0.415,,,0.3600889195975472,74.224945,0.73,,,,Asia,Western Asia
AZE,2019,5.1648,14442.0408668016,56.031,,0.5,14.218887,0.372,,73.1023,12.930004,0.421,3.97,,,0.0,0.761,447.0,10.869016,,Asia,Western Asia
AZE,2018,5.2077,14209.5931685619,55.68,25.0,0.5,14.052589,0.341,9.373489,72.7601,13.29211,0.389,3.92,,,0.0,0.757,447.0,10.833136,,Asia,Western Asia
AZE,2017,5.2006,14121.4069355591,55.343,31.0,0.5,14.208536,0.398,8.75,72.2478,12.433502,0.446,3.91,,,0.3574418,0.753,447.0,10.843067,,Asia,Western Asia
AZE,2016,5.234,14232.1926180142,55.021,30.0,0.5,17.734713,0.348,,72.0039,12.125596,0.401,3.92,,,1.3632371,0.75,447.0,11.012124,,Asia,Western Asia
AZE,2015,5.291,14852.6117080302,54.714,29.0,0.5,16.50607,0.376,,71.4512,12.743314,0.432,3.99,,,0.6387195,0.748,447.0,11.203531,,Asia,Western Asia
AZE,2014,5.212,14867.9437345406,54.422,29.0,,14.998136,0.38,,71.1163,12.886666,0.44,4.1,93.8623,,0.4413933,0.745,447.0,11.233435,,Asia,Western Asia
AZE,2011,4.581938,13913.8366943419,53.637,,,13.471065,0.358,,69.9835,11.441569,0.414,4.44,,,0.0,0.729,447.0,11.283263,,Asia,Western Asia
BHR,2022,6.1732,51854.7163705359,,,,,0.319,,,26.528921,0.281,,,0.3338565484615384,0.0,,,,,Asia,Western Asia
